| 2020:06:24 21:17:02,743 | I | root | med/medservicelist.py +125 get PID	5e59000d0084789922277bde
| 2020:06:24 21:17:02,746 | I | root | med/medservicelist.py +142 get 502022.0	
| 2020:06:24 21:17:02,756 | D | root | med/medservicelist.py +247 get RSP	{'code': 2000, 'status': True, 'message': 'List of services'}
| 2020:06:24 21:17:02,758 | I | tornado.access | 200 GET /v2/web/api/med/servicelist (::1) 25.87ms
| 2020:06:24 21:17:04,490 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 21:17:04,491 | I | root | lib/xen_protocol.py +54 require_auth Authorization	5d232de88d26f4bb9e11367b
| 2020:06:24 21:17:04,492 | I | root | lib/fernet_crypto.py +65 FN_DECRYPT 	
| 2020:06:24 21:17:04,493 | I | root | lib/xen_protocol.py +71 require_auth x-Origin-Key	5e551060234c5ff26752bd45
| 2020:06:24 21:17:04,494 | I | root | lib/xen_protocol.py +86 require_auth x-Api-Key	5e58fd693bf1f7d832254c76
| 2020:06:24 21:17:04,497 | I | root | med/medservicelist.py +125 get PID	5e59000d0084789922277bde
| 2020:06:24 21:17:04,501 | I | root | med/medservicelist.py +142 get 502022.0	
| 2020:06:24 21:17:04,507 | D | root | med/medservicelist.py +247 get RSP	{'code': 2000, 'status': True, 'message': 'List of services'}
| 2020:06:24 21:17:04,508 | I | tornado.access | 200 GET /v2/web/api/med/servicelist (::1) 20.50ms
| 2020:06:24 21:21:48,357 | I | tornado.general | /home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py modified; restarting server
| 2020:06:24 21:21:48,437 | I | root | ------
| 2020:06:24 21:21:48,467 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 21:21:48,902 | D | asyncio | Using selector: EpollSelector
| 2020:06:24 21:21:48,964 | I | root | lib/conn_util.py +39 MongoMixin MONGO	User Database has been Initialized!
| 2020:06:24 21:21:48,990 | I | root | lib/conn_util.py +58 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:21:49,017 | I | root | lib/conn_util.py +77 MongoMixin MONGO	Service Database has been Initialized!
| 2020:06:24 21:21:49,019 | E | STDERR | Traceback (most recent call last):
| 2020:06:24 21:21:49,020 | E | STDERR |   File "./run.py", line 4, in <module>
| 2020:06:24 21:21:49,020 | E | STDERR |     from common import *
| 2020:06:24 21:21:49,020 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/common.py", line 17, in <module>
| 2020:06:24 21:21:49,020 | E | STDERR |     from .med.medservicelist import MedServiceListHandler
| 2020:06:24 21:21:49,020 | E | STDERR |   File "/home/nilanjan/projects/ohzas/server_v2/web/med/medservicelist.py", line 290
| 2020:06:24 21:21:49,020 | E | STDERR |     profile = yield self.profile.find(
| 2020:06:24 21:21:49,020 | E | STDERR |                                      ^
| 2020:06:24 21:21:49,020 | E | STDERR | TabError: inconsistent use of tabs and spaces in indentation
| 2020:06:24 22:01:42,761 | I | root | ------
| 2020:06:24 22:01:42,788 | I | root | lib/log_util.py +50 <module> All Logs written in ./log/run.log
| 2020:06:24 22:01:43,217 | D | asyncio | Using selector: EpollSelector
